User-ID,Location,Age
2,"stockton, california, usa",18.0
7,"washington, dc, usa",
8,"timmins, ontario, canada",
9,"germantown, tennessee, usa",
10,"albacete, wisconsin, spain",26.0
12,"fort bragg, california, usa",
14,"mediapolis, iowa, usa",
16,"albuquerque, new mexico, usa",
17,"chesapeake, virginia, usa",
19,"weston, ,",14.0
20,"langhorne, pennsylvania, usa",19.0
22,"erfurt, thueringen, germany",
23,"philadelphia, pennsylvania, usa",
26,"bellevue, washington, usa",
32,"portland, oregon, usa",
36,"montreal, quebec, canada",24.0
38,"viterbo, lazio, italy",34.0
39,"cary, north carolina, usa",
42,"appleton, wisconsin, usa",17.0
44,"black mountain, north carolina, usa",51.0
51,"renton, washington, usa",34.0
53,"tacoma, washington, usa",
56,"cheyenne, wyoming, usa",24.0
64,"lyon, rhone, france",32.0
67,"framingham, massachusetts, usa",43.0
68,"montreal, quebec, canada",
69,"vancouver, british columbia, canada",
70,"rochester, new york, usa",44.0
73,"wentzville, missouri, usa",
75,"long beach, california, usa",37.0
77,"vancouver, british columbia, canada",
78,"oakland, california, usa",18.0
79,"ottawa, ontario, canada",20.0
81,"santa cruz, california, usa",
82,"del mar, california, usa",
83,"eugene, oregon, usa",
85,"london, england, united kingdom",41.0
